Sr.no,Brand,Model Name,Price,Item Weight (kg),Color Options,Wheels,Energy Consumption (Kwh/yr),Load Weight,Height,Width,Gross Weight,Type,Product Warranty,Motor Warranty,Child Lock,Noise Level (washing) dB,Noise Level (spinning) dB,Max Spin Speed (rpm),Water Consumption (KWh/yr),Water Consumption (Liters),Loading Type
1,Haier,HWM58-020,10390,"64,14",White,,438,"5,8","88,2",50,32,Fully Automatic,2,5,Yes,53,70,1000,18250,0,Top
2,Bosch,WAK24168IN,30837,"158,73",Silver,,"361,35",7,85,60,0,Fully Automatic,2,10,Yes,55,67,1200,0,47,Front
3,LG,T72CMG22P,19190,"77,16","Marine Blue, Cool Grey",,??,"6,2",85,54,0,Fully Automatic,2,0,Yes,??,??,800,0,0,Top
4,Onida ,WS65WLPT1LR ,5200,"31,07",Lava Red,,??,"6,5",89,49,15, Semi automatic,1,1,No,??,??,740,0,0,Top
5,Bosch,WAB16060IN ,20589,"138,89",White,No,??,6,"84,8",55,67,Fully-automatic,2,10,No,59,,800,0,0,Front
6,Intex ,WMS62TL ,6890,,White & Maroon,Yes,,"6,2",90,"44,5","23,5",semi automatic,2,0,No,,,1320,0,0,Top
7,LG ,P7853R3SA ,11690,,Burgundy,Yes,,"6,8","97,5","79,5",0,semi automatic,2,0,Yes,,,740,0,0,Top
8,LG ,FH0B8NDL22 ,25690,,Blue White,,,6,85,60,0,Fully Automatic,2,10,Yes,,,1000,0,0,Front
9,DMR ,30-1208,3599,,Blue ,,,3,55,40,0,semi automatic,1,0,No,,,0,0,0,Top
10,Godrej,WT600C ,11189,,Skiky Grey,,,6,"90,4",56,0,Fully Automatic,2,0,No,,,700,0,0,Top
11,IFB ,TL-RDW,16190,,Ivory White,,,"6,5",95,57,42,Fully Automatic,2,0,Yes,,,720,0,104,Top
12,Hyundai,HYS72F ,7290,23,Luminous Blue,,,"7,2","97,5",48,0,semi automatic,1,0,No,60,60,1350,0,0,Top
13,Noble Skiodo,80WMVM ,7990,27,White & Grey,Yes,,8,"99,5","80,5",27,semi automatic,2,2,No,,,1350,0,0,Top
14,Bosch ,WAK24268IN ,32820,,Silver/Grey,,,7,85,60,0,Fully Automatic,2,10,Yes,,,1200,"0,99",47,Front
15,Noble Skiodo,7.0 70WSVM,3790,"13,2", Burgundy and Grey,,,7,87,"46,5","13,2",semi automatic,1,1,No,,,1270,0,0,Top
16,Onida ,WO65TSPNEMO-SG,14490,33,Sea Green,,,"6,5","91,8","54,7",33,Fully Automatic,2,0,Yes,62,72,780,0,0,Top
17,Godrej ,WT 620 CFS,13002,,Graphite Grey,,,"6,2","90,4",56,0,Fully Automatic,2,2,No,,,700,0,0,Top
18,Whirlpool ,WM Classic Plus 621S,13600,,Dark Grey,,,"6,2",0,0,0,Fully Automatic,2,0,Yes,,,740,0,0,Top
19,Videocon ,VT55H12,11100,,Dark maroon,,,"5,5",88,56,0,Fully Automatic,1,0,Yes,,,800,0,0,Top
20,Onida ,WOF5508NW,16490,57,White,,,"5,5","84,5","59,7","59,5",Fully Automatic,2,2,Yes,58,76,800,0,9240,Front
21,LG ,T7270TDDL ,15190,,Blue White,,,"6,2",85,54,0,Fully Automatic,2,0,Yes,,,800,0,0,Top
22,IFB,Senorita Aqua SX,30690,,Silver,,,"6,5","87,5","59,8",71,Fully Automatic,4,0,No,,,1000,0,43,Front
23,Intex ,WMS65ST ,7298,,Pink,Yes,,"6,5",92,77,24,semi automatic,2,0,No,,,1320,0,0,Top
24,IFB ,EVA AQUA,22789,66,White,,,6,"87,5","59,8",66,fully Automatic,4,0,Yes,,,800,0,45,Front
25,IFB ,Senator Aqua SX,34564,80,Silver,,,8,"87,5","59,8",80,fully Automatic,4,0,Yes,,,1400,0,60,Front
26,Whirlpool ,360 WORLD SERIES 72H GRAPHITE,24689,33,Graphite,,,"7,2","102,5",54,0,fully Automatic,2,10,Yes,,,740,0,0,Top
27,Godrej ,GWF 650 FC,15999,,Carmine Red,,,"6,5",92,56,0,fully Automatic,2,2,Yes,,,700,0,0,Top
28,IFB ,Elena Aqua VX,23090,66,White,,,6,"87,5","59,8",71,fully Automatic,4,0,Yes,,,800,0,0,Front
29,Panasonic ,NA-W65B3RRB,8490,,Red,Yes,,"6,5",44,76,0,semi automatic,2,0,No,,,0,0,0,Top
30,IFB ,Elite Aqua SX,33490,77,Silver,,,7,"87,5","59,8",77,Fully Automatic,4,0,Yes,,,1200,0,52,Front
